Reference, Reference URL, Reference Perpendicular Baseline (meters),Secondary, Secondary URL, Secondary Perpendicular Baseline (meters),Pair Temporal Baseline (days)
S1A_IW_SLC__1SDV_20200818T010713_20200818T010740_033954_03F087_93EA,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200818T010713_20200818T010740_033954_03F087_93EA.zip,3,S1A_IW_SLC__1SDV_20200830T010714_20200830T010741_034129_03F6B3_42D2,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200830T010714_20200830T010741_034129_03F6B3_42D2.zip,61,12
S1A_IW_SLC__1SDV_20200830T010714_20200830T010741_034129_03F6B3_42D2,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200830T010714_20200830T010741_034129_03F6B3_42D2.zip,61,S1A_IW_SLC__1SDV_20200911T010715_20200911T010742_034304_03FCD1_04C5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200911T010715_20200911T010742_034304_03FCD1_04C5.zip,59,12
S1A_IW_SLC__1SDV_20200911T010715_20200911T010742_034304_03FCD1_04C5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200911T010715_20200911T010742_034304_03FCD1_04C5.zip,59,S1A_IW_SLC__1SDV_20200923T010715_20200923T010742_034479_040312_B756,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200923T010715_20200923T010742_034479_040312_B756.zip,62,12
S1A_IW_SLC__1SDV_20200923T010715_20200923T010742_034479_040312_B756,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200923T010715_20200923T010742_034479_040312_B756.zip,62,S1A_IW_SLC__1SDV_20201005T010715_20201005T010742_034654_040935_75C8,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201005T010715_20201005T010742_034654_040935_75C8.zip,95,12
S1A_IW_SLC__1SDV_20201005T010715_20201005T010742_034654_040935_75C8,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201005T010715_20201005T010742_034654_040935_75C8.zip,95,S1A_IW_SLC__1SDV_20201017T010715_20201017T010742_034829_040F4E_646E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201017T010715_20201017T010742_034829_040F4E_646E.zip,87,12
S1A_IW_SLC__1SDV_20201017T010715_20201017T010742_034829_040F4E_646E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201017T010715_20201017T010742_034829_040F4E_646E.zip,87,S1A_IW_SLC__1SDV_20201029T010715_20201029T010742_035004_041550_B82B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201029T010715_20201029T010742_035004_041550_B82B.zip,67,12
S1A_IW_SLC__1SDV_20201029T010715_20201029T010742_035004_041550_B82B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201029T010715_20201029T010742_035004_041550_B82B.zip,67,S1A_IW_SLC__1SDV_20201110T010715_20201110T010742_035179_041B5F_B7AB,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201110T010715_20201110T010742_035179_041B5F_B7AB.zip,54,12
S1A_IW_SLC__1SDV_20201110T010715_20201110T010742_035179_041B5F_B7AB,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201110T010715_20201110T010742_035179_041B5F_B7AB.zip,54,S1A_IW_SLC__1SDV_20201122T010715_20201122T010742_035354_042173_4ABF,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201122T010715_20201122T010742_035354_042173_4ABF.zip,24,12
S1A_IW_SLC__1SDV_20201122T010715_20201122T010742_035354_042173_4ABF,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201122T010715_20201122T010742_035354_042173_4ABF.zip,24,S1A_IW_SLC__1SDV_20201204T010714_20201204T010741_035529_042772_6A1E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201204T010714_20201204T010741_035529_042772_6A1E.zip,93,12
S1A_IW_SLC__1SDV_20201204T010714_20201204T010741_035529_042772_6A1E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201204T010714_20201204T010741_035529_042772_6A1E.zip,93,S1A_IW_SLC__1SDV_20201216T010714_20201216T010741_035704_042D86_BFAD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201216T010714_20201216T010741_035704_042D86_BFAD.zip,154,12
S1A_IW_SLC__1SDV_20201216T010714_20201216T010741_035704_042D86_BFAD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201216T010714_20201216T010741_035704_042D86_BFAD.zip,154,S1A_IW_SLC__1SDV_20201228T010713_20201228T010740_035879_04339B_FCF8,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20201228T010713_20201228T010740_035879_04339B_FCF8.zip,92,12
